Сollision,Segments
0,0
0,1
0,2
,3
1,4
1,5
0,6
,7
,8
0,9
,10
0,11
,12
,13
,14
,15
,16
,17
0,18
0,19
,20
0,21
,22
,23
0,24
,25
0,26
,27
3,28
2,29
1,30
2,31
2,32
1,33
1,34
0,35
,36
,37
0,38
0,39
,40
,41
,42
,43
,44
,45
,46
,47
0,48
1,49
0,50
,51
,52
,53
,54
,55
,56
,57
0,58
,59
,60
,61
,62
1,63
1,64
0,65
,66
1,67
0,68
,69
,70
,71
,72
,73
,74
0,75
,76
,77
,78
,79
,80
,81
,82
1,83
2,84
1,85
0,86
,87
,88
0,89
,90
,91
0,92
0,93
,94
,95
,96
,97
,98
,99
0,100
,101
,102
,103
,104
1,105
0,106
,107
0,108
2,109
1,110
0,111
,112
,113
,114
,115
1,116
0,117
0,118
0,119
0,120
0,121
,122
,123
,124
,125
,126
,127
,128
0,129
,130
,131
0,132
,133
,134
0,135
,136
,137
,138
,139
,140
0,141
,142
,143
,144
,145
,146
1,147
0,148
,149
,150
,151
,152
0,153
,154
,155
,156
0,157
0,158
0,159
,160
0,161
,162
,163
,164
0,165
1,166
2,167
1,168
0,169
0,170
,171
,172
1,173
2,174
2,175
1,176
0,177
,178
,179
0,180
0,181
,182
,183
,184
,185
0,186
,187
,188
,189
,190
,191
,192
,193
,194
0,195
,196
,197
,198
0,199
,200
0,201
,202
,203
0,204
1,205
1,206
0,207
0,208
,209
0,210
,211
0,212
0,213
0,214
0,215
,216
,217
,218
,219
1,220
1,221
0,222
,223
0,224
,225
,226
,227
,228
,229
,230
,231
,232
1,233
1,234
0,235
,236
,237
0,238
,239
1,240
0,241
,242
,243
1,244
1,245
2,246
1,247
1,248
0,249
0,250
,251
,252
,253
1,254
0,255
,256
,257
0,258
,259
,260
0,261
,262
0,263
0,264
0,265
0,266
,267
0,268
1,269
0,270
,271
,272
,273
0,274
0,275
,276
,277
,278
,279
,280
,281
,282
,283
0,284
,285
,286
,287
,288
0,289
,290
1,291
1,292
1,293
1,294
0,295
0,296
1,297
0,298
0,299
,300
,301
0,302
0,303
0,304
0,305
,306
,307
1,308
1,309
1,310
2,311
1,312
0,313
,314
,315
1,316
1,317
0,318
,319
,320
,321
1,322
0,323
0,324
,325
,326
,327
,328
,329
,330
,331
,332
0,333
,334
,335
0,336
,337
0,338
,339
0,340
,341
,342
,343
0,344
0,345
0,346
,347
,348
,349
,350
0,351
,352
,353
,354
,355
,356
,357
,358
,359
1,360
0,361
0,362
,363
2,364
1,365
0,366
0,367
0,368
1,369
0,370
0,371
,372
0,373
,374
,375
,376
,377
0,378
0,379
0,380
0,381
,382
0,383
,384
,385
,386
0,387
1,388
0,389
,390
,391
,392
0,393
,394
1,395
0,396
3,397
3,398
2,399
1,400
1,401
1,402
1,403
1,404
0,405
,406
,407
1,408
1,409
0,410
,411
1,412
0,413
,414
,415
0,416
0,417
2,418
1,419
2,420
2,421
1,422
0,423
,424
,425
0,426
,427
,428
,429
,430
,431
1,432
0,433
0,434
,435
0,436
,437
0,438
,439
0,440
0,441
,442
,443
,444
1,445
0,446
,447
0,448
,449
,450
0,451
0,452
1,453
0,454
,455
,456
0,457
0,458
0,459
0,460
,461
1,462
0,463
0,464
0,465
,466
,467
,468
,469
,470
0,471
,472
,473
0,474
,475
0,476
,477
,478
,479
0,480
0,481
,482
,483
,484
,485
,486
,487
0,488
0,489
,490
,491
,492
,493
,494
,495
,496
,497
,498
,499
2,500
2,501
1,502
1,503
0,504
,505
,506
0,507
,508
,509
,510
,511
0,512
,513
2,514
2,515
2,516
2,517
1,518
0,519
1,520
0,521
0,522
,523
2,524
2,525
1,526
2,527
3,528
2,529
4,530
4,531
3,532
3,533
2,534
1,535
0,536
,537
,538
0,539
,540
,541
0,542
,543
,544
0,545
1,546
1,547
0,548
,549
,550
,551
,552
0,553
,554
2,555
1,556
0,557
0,558
,559
0,560
,561
,562
0,563
,564
,565
0,566
,567
0,568
,569
,570
,571
1,572
0,573
,574
,575
,576
,577
0,578
1,579
0,580
,581
1,582
1,583
0,584
1,585
0,586
,587
0,588
0,589
,590
,591
,592
,593
1,594
1,595
0,596
,597
,598
0,599
0,600
0,601
0,602
,603
,604
0,605
0,606
0,607
,608
0,609
,610
,611
0,612
,613
0,614
1,615
2,616
2,617
1,618
0,619
0,620
,621
,622
,623
,624
,625
1,626
0,627
